par_id,text,label
4341,"The system said that about 150,000 children of poor families will be sent to part of the British Empire between 1920 and 1974, leading to a better life by religious order and charity.",1
4136,Dubban's homeless community reconciliation lunch,1
10352,"The next immediate problem was to help unfortunate couples. Because the two did not own a birth certificate, a marriage certificate or ID. The landscape of Samurdhi Dhanapala explained how it could endure when he did not have an identification card that would officially help when he met most of the poor family in the village.",1
8279,Last night's results are much more important than the impact on economic gods. Last night's results also mean that many vulnerable New Zealands will have a better life for at least three years.,1
1164,"Strengthen social protection systems that are sensitive to children, including cash transmission programs that support other services that protect food, health care, education, and children from poverty and improve the possibility of breaking the cycle in their lives. .",1
7568,"Today, homeless women are still looking for the same thing. Sleep and be safe.",1
6027,Barnett is a member of the Care of Hope and provides food for the distance people accepted by the Foundation regularly. But she doesn't have to cook to feed her homeless and the poor people she said. This is basically in her alley.,1
9343,"Lougene still has this message for others who can still fall into illegal drugs. ""Because there is hope, there must be no hope. You can still change. Because every time I see a TV drug user and a dealer, I died. no see. """,1
1231,"The night of the journey, which is fired early in the area of ​​Morocco, has a chance that the homeless African people take a chance before the condition deteriorate, and sometimes get a chance in the harsh treatment of the authorities.",1
911,"People of poor families were likely to leave school without qualifications, to give birth to babies, commit crimes, proceed with welfare before they were 20 years old, and adulthood and other mental health problems.",1
5431,"Among all these sorting and relocation, the masses of the Nigerians were poor, healthy, and not educated, unemployed, homeless, hungry, poor, and abandoned. But in the first hint of the problem, those who can directly access the main resources and those who want to access directly use races, religion or gender cards to get the desired results.",1
9047,"This is a new effort to pay attention to the difficulties of homeless people, orphans, abandoned, abused and indifferent children across Africa.",1
951,"Cornell established Chris & Amp with his wife Vicky. Vicky Cornell Foundation, a charity organization that works with vulnerable children. Charity is currently focusing on protecting these children from the desolation of homeless, poverty, abuse and neglect. <H> 7. Cuba Concert",1
606,"In particular, my humility and respect for the elderly and young people of our society was born as a Christian. Similarly, my defense and definition of helpless and vulnerable people are very the same.",1
6950,Until he became an author published in Rough Rough: This man's story will make me think twice about ignoring homeless people.,1
2385,"""Bruce has done a fantastic work in training young people, especially in the poorest of the poorest families.",1
4491,"""Volleyball is our reputation in the school's sports, but as the underprivileged school, we are not in a position to give all the facilities that players need. Also, these boys are from poor families and are not in the state. Except for their humble blessings, we are very brave to get two or three titles from 4 to 5 tournaments from our perspective.",1
2872,"Archibald strongly believed that there was a space for everyone and that everyone had to receive value and respect. "" ""She would not have understood the cold cruelty that caused her death.""",1
9054,"Even if many of these students are selected for the dependent service, the service can improve the poor family. <H> Shock",1
5629,One of the children who struggled to escape from the freezing temperature that fell from the family in the village of Nuwara Eliya and gathered about pregnant mothers among 10 other homeless children and struggled to escape the freezing temperature that fell below 8 degrees Celsius.,1
853,"IAIN DUNCAN-SMITH has made it clear of his feelings for benefits. The poor family should be provided with a prepaid card with a payment to be paid to spend money on food, not ""self -destructive habits.""",1
2485,"Chan also said that ""Care and Sharing"" will be the main theme of the upcoming budget plan, and that social organizations that support disadvantaged people and help children make society more harmony will be a social organization that needs help.",1
3920,"5) Most Buddhist institutions and employees do not have a program that helps refugees, provides shelters for homeless children, or provides rehabilitation services. In contrast, well -established Christian churches and new evangelical organizations are working at the level of villages and villages to help the affected individuals. The victims of political violence come to sorrow. It also helps people cope with more ordinary problems (22).",1
2803,"AIMMM was a brutal woman who was uneven in violence and rape crimes, especially on December 16, a cruel young woman by the beasts. All crimes and weak areas of women, especially minorities, dalits and adivasis, can be very criticized and show the whole country with very bad light. Now people, police, judiciary and government agencies have stood up to fulfill their obligations to protect weak and vulnerable social sections. AIMMM urges the government to introduce punishment for such cruel crimes. It also rushes with the delinquency police reform to liberate the police from the British RAJ rules, protect all citizens, human rights and honor of ordinary people, and take responsibility.",1
668,"He is not the employers of employees who are in danger and employees with single parents. Food and rent are paid, and if someone needs, they will be required for children's allowances or transportation costs. Monthly trained prison counselors hold a mentorship session for employees.",1
7853,"Islamic philosophy specially mentioned moral virtues and has long dealt with research on unique mental characteristics and tendencies among humans. Some human beings tend to be entirely to pursue virtues and are consumed as a desire for knowledge of the sacred world known as M 'arifft or gnosis. Others tend to disappear by things and pleasure of the world. There is an intermediate order of a person who tends to GNosis and has aptitude for the work of the world. This last category was written in the 12th century by IMAM RAZI, and the control of colleagues' work is correct for ""right -handed or balanced people"" and those people. Tasks are never easy. Simple goodness does not guarantee success. All virtue ownership is not enough. Inspired by higher sources. The element of the mari -parts provides the required instructions by paying attention to the sacred light. There is no leader in the community who has succeeded in managing work, and anyone who has saved them from the threat of desperate flooding or the vast majority of desperate flooding can do so. Simple human intelligence, or the power or personality of the brain.",1
10467,"""She has a huge platform and you can go to a place where you need to know what's going on in your hometown. She always used resources (real resources) as well as her platform and voice. Help the most helpful people.",1
6052,2017 Budget: To do more for the disabled groups,1
7110,"""For example, we also helped people of the opposition, Yong Peng. Because it is our responsibility to help people need it,"" he added.",1
